dataset	branch_id	published_saturated_windows	published_saturated_fraction	eigenvalue_weighted_saturated_windows	eigenvalue_weighted_saturated_fraction	windows	published_satute_csv	eigenvalue_weighted_csv
protein_based_2D_tree	branch_to_eukaryota	138	0.0538852010933229	5	0.0019523623584537	2561	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/original_satute/protein_based_2D_tree/branch_to_eukaryota_sliding_window_size_36.csv	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/sliding_window/eigenvalue_weighted/protein_based_2D_tree/branch_to_eukaryota_sliding_window_size_36.csv
protein_based_2D_tree	branch_to_yeast	54	0.0210855134713002	8	0.0031237797735259	2561	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/original_satute/protein_based_2D_tree/branch_to_yeast_sliding_window_size_36.csv	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/sliding_window/eigenvalue_weighted/protein_based_2D_tree/branch_to_yeast_sliding_window_size_36.csv
rRNA_based_3D_tree	branch_to_eukaryota	822	0.4299163179916318	699	0.3655857740585774	1912	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/original_satute/rRNA_based_3D_tree/branch_to_eukaryota_sliding_window_size_36.csv	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/sliding_window/eigenvalue_weighted/rRNA_based_3D_tree/branch_to_eukaryota_sliding_window_size_36.csv
rRNA_based_3D_tree	branch_to_yeast	70	0.0366108786610878	29	0.0151673640167364	1912	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/original_satute/rRNA_based_3D_tree/branch_to_yeast_sliding_window_size_36.csv	doc/satute-wiki/results/biological/independent_enhanced_sliding_window_20260619_151135/sliding_window/eigenvalue_weighted/rRNA_based_3D_tree/branch_to_yeast_sliding_window_size_36.csv
