model	branch_length	nsites	method	null_training_reps	null_heldout_reps	alternative_reps	exact_null_mean	exact_null_sd	exact_alternative_mean	exact_standardized_separation	empirical_threshold	heldout_null_mean_z	heldout_null_median_z	heldout_null_sd_z	null_nominal_rejection	null_nominal_ci_low	null_nominal_ci_high	null_calibrated_rejection	null_calibrated_ci_low	null_calibrated_ci_high	nominal_power	nominal_power_ci_low	nominal_power_ci_high	calibrated_power	calibrated_power_ci_low	calibrated_power_ci_high	alternative_mean_z	alternative_median_z	alternative_sd_z
+I+G4	0.5	100	legacy_counterfactual	10000	10000	20000	0.2164127073999684	1.278337856459337	1.3339740219013396	0.8742300080173836	3.123079402013554	1.6509176924501814	1.6645818284557288	0.9453646126504808	0.5093	0.49950000489990515	0.5190928524680083	0.0572	0.05281614127619902	0.061923940174111014	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	10.422635719299185	10.35725236434645	1.306955300709323
+I+G4	0.5	100	refined_invariant_null	10000	10000	20000	1.3877787807814457e-17	0.8980802234599395	0.7914258746595967	0.881241846759027	1.5514716196166736	-0.03872130571438792	-0.027138682389157932	1.0273510831432833	0.0478	0.043789329249743165	0.05215797163514888	0.0576	0.053201088687893604	0.06233868555243422	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	9.468753695450394	9.37932106419401	1.442620217341578
+I+G4	0.5	500	legacy_counterfactual	10000	10000	20000	0.2164127073999684	1.278337856459337	1.3339740219013396	0.8742300080173836	5.287134707543571	3.7669758448566046	3.7699027545667496	0.9293197858160861	0.9882	0.9858881371552632	0.9901369130614455	0.0488	0.0447477099582466	0.05319882290168992	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	23.20166754633913	23.16156819798732	1.2791112577793236
+I+G4	0.5	500	refined_invariant_null	10000	10000	20000	1.3877787807814457e-17	0.8980802234599395	0.7914258746595967	0.881241846759027	1.630739908948848	-0.018502829338369036	-0.016313226967996686	1.0114193844835822	0.0491	0.045035320072915955	0.05351098237953389	0.0504	0.04628212937744861	0.054863174642559055	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	21.020173318321667	20.968806452041427	1.4018825801721115
+I+G4	0.5	1000	legacy_counterfactual	10000	10000	20000	0.2164127073999684	1.278337856459337	1.3339740219013396	0.8742300080173836	6.842773164622406	5.334809994587059	5.33800577793813	0.9198179474132332	1.0	0.9996159875222334	0.9999999999999999	0.0498	0.04570657916787368	0.0542391856671073	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	32.809363376670724	32.78566898738663	1.2894854983814261
+I+G4	0.5	1000	refined_invariant_null	10000	10000	20000	1.3877787807814457e-17	0.8980802234599395	0.7914258746595967	0.881241846759027	1.614779227597243	-0.017303571464510087	-0.01547521532240648	1.0008618892432062	0.0486	0.044555994280372054	0.052990692184555564	0.0516	0.04743373093848816	0.05611065145157285	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	29.717664656241926	29.69816002878151	1.4136757065048378
+I+G4	0.5	5000	legacy_counterfactual	10000	10000	20000	0.2164127073999684	1.278337856459337	1.3339740219013396	0.8742300080173836	13.51188150019713	11.957825168445025	11.962599125343614	0.9120388991414443	1.0	0.9996159875222334	0.9999999999999999	0.0421	0.0383366493939983	0.04621502923314028	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	73.34017883487313	73.3224174679823	1.2843812513889026
+I+G4	0.5	5000	refined_invariant_null	10000	10000	20000	1.3877787807814457e-17	0.8980802234599395	0.7914258746595967	0.881241846759027	1.6741541149985464	-0.014294859832884857	-0.009552419137370656	0.9913914983058426	0.045	0.041108589268659346	0.049240862086108186	0.0423	0.03852766036149848	0.046423864660648996	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	66.41407868266032	66.39043382941043	1.4071302610750689
+I+G4	0.5	10000	legacy_counterfactual	10000	10000	20000	0.2164127073999684	1.278337856459337	1.3339740219013396	0.8742300080173836	18.448196571815433	16.93859214474195	16.937805844792884	0.9144111062166476	1.0	0.9996159875222334	0.9999999999999999	0.0506	0.04647401691551558	0.05507113349950097	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	103.72382906779632	103.71150242027728	1.2830062072970914
+I+G4	0.5	10000	refined_invariant_null	10000	10000	20000	1.3877787807814457e-17	0.8980802234599395	0.7914258746595967	0.881241846759027	1.651783067980699	0.011185652704225878	0.014052649416696355	0.9943014079007367	0.0514	0.04724175162942263	0.0559027843656295	0.0505	0.046378070820086464	0.05496715639742565	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	93.92735787172167	93.91504461704314	1.4043029615151357
+I+G4	1.0	100	legacy_counterfactual	10000	10000	20000	0.18312830248088274	1.079454868728831	0.9503478661558338	0.7107472353878314	3.15987305232807	1.6711176251209618	1.6941140087030484	0.9479746913047075	0.5204	0.510602203419367	0.5301821288715401	0.0565	0.05214263391620294	0.06119798515157597	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	8.315066626677703	8.267576303149497	1.126231155311335
+I+G4	1.0	100	refined_invariant_null	10000	10000	20000	1.5265566588595902e-16	0.7440131620279822	0.5329926192440353	0.7163752557699906	1.5911376467559684	-0.021006145084174727	0.007191603057028817	1.0321043893173196	0.0511	0.046953816730797814	0.055590949671740976	0.0571	0.05271991415498993	0.061820244097815655	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	7.135873663089583	7.07810793210372	1.2049862469007806
+I+G4	1.0	500	legacy_counterfactual	10000	10000	20000	0.18312830248088274	1.079454868728831	0.9503478661558338	0.7107472353878314	5.271642130222416	3.780464650431566	3.80058532632043	0.9171894418018578	0.9893	0.9870871895308392	0.9911370158584184	0.0506	0.04647401691551558	0.05507113349950097	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	18.5218772371204	18.501550647307837	1.1122334418327324
+I+G4	1.0	500	refined_invariant_null	10000	10000	20000	1.5265566588595902e-16	0.7440131620279822	0.5329926192440353	0.7163752557699906	1.6102959542887865	-0.011780784926322155	0.012457699443155333	0.9974141097586222	0.0465	0.042544188721841285	0.05080411059549295	0.0503	0.04618619260069309	0.05475918822181011	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	15.857845438919368	15.833613211665618	1.1866141816797646
+I+G4	1.0	1000	legacy_counterfactual	10000	10000	20000	0.18312830248088274	1.079454868728831	0.9503478661558338	0.7107472353878314	6.839935001163611	5.3686977738034525	5.369172700306465	0.9203917397185601	1.0	0.9996159875222334	0.9999999999999999	0.0554	0.05108465961984977	0.06005680427538021	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	26.193940693801427	26.18646153876577	1.1124938619531133
+I+G4	1.0	1000	refined_invariant_null	10000	10000	20000	1.5265566588595902e-16	0.7440131620279822	0.5329926192440353	0.7163752557699906	1.6079518967357516	0.006229982847479336	0.011054545392709265	1.0028358106693316	0.0496	0.04551476692140481	0.05403115151856727	0.0526	0.048393896302291316	0.05714971806281418	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	22.420677866380753	22.40988327854827	1.1869213766323796
+I+G4	1.0	5000	legacy_counterfactual	10000	10000	20000	0.18312830248088274	1.079454868728831	0.9503478661558338	0.7107472353878314	13.504472214152239	12.001668531825352	12.002574493889362	0.9150459617746588	1.0	0.9996159875222334	0.9999999999999999	0.0487	0.0446518496699761	0.05309475999245596	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	58.54418940028504	58.548831566766026	1.1061643505021443
+I+G4	1.0	5000	refined_invariant_null	10000	10000	20000	1.5265566588595902e-16	0.7440131620279822	0.5329926192440353	0.7163752557699906	1.646333169265198	0.007289566048544252	0.0057028752505795845	0.9956371171698605	0.0484	0.04436429825452712	0.052782541815391604	0.0481	0.044076791316212685	0.05247027916119269	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	50.100356155877826	50.10858399937615	1.1805528898553568
+I+G4	1.0	10000	legacy_counterfactual	10000	10000	20000	0.18312830248088274	1.079454868728831	0.9503478661558338	0.7107472353878314	18.464345769369665	16.96488343834228	16.961512290914158	0.9233947208502346	1.0	0.9996159875222334	0.9999999999999999	0.0497	0.045610670664964575	0.054135170972511956	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	82.78309738155595	82.78706218015495	1.1129022607191787
+I+G4	1.0	10000	refined_invariant_null	10000	10000	20000	1.5265566588595902e-16	0.7440131620279822	0.5329926192440353	0.7163752557699906	1.632885286194023	0.0015533831843508813	-0.0025674783963094217	1.0056266835568435	0.0499	0.04580249241658047	0.054343195615904956	0.0511	0.046953816730797814	0.055590949671740976	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	70.83846076965965	70.8485226869876	1.1863436501454065
+I+G4	2.0	100	legacy_counterfactual	10000	10000	20000	0.14904029851025008	0.8778943227596446	0.6284976378263063	0.5461447088630109	3.1729331927791313	1.6436950180828154	1.6585017792539656	0.9384749039551171	0.5058	0.49600031355585256	0.5155952318994054	0.0475	0.04350191245596974	0.051845618836408966	1.0	0.9998079568876411	1.0	0.99985	0.9995590283953282	0.9999489861052466	6.571315858671015	6.545230842586049	1.0122527006152462
+I+G4	2.0	100	refined_invariant_null	10000	10000	20000	-2.7755575615628914e-17	0.5939305264841688	0.3270327233061677	0.5506245406210566	1.5970852601414087	-0.05191904641564316	-0.026664481450852904	1.022392314103241	0.0442	0.04034343693887649	0.04840662883585549	0.048	0.043980965621961486	0.05236618165793946	0.99985	0.9995590283953282	0.9999489861052466	0.99985	0.9995590283953282	0.9999489861052466	5.256156573857223	5.227663008152175	1.073505531595483
+I+G4	2.0	500	legacy_counterfactual	10000	10000	20000	0.14904029851025008	0.8778943227596446	0.6284976378263063	0.5461447088630109	5.286430910547484	3.772666070009126	3.7917341567845786	0.926199143495243	0.9866	0.9841522258286299	0.9886740532280076	0.0478	0.043789329249743165	0.05215797163514888	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	14.685498682841947	14.671399206248832	0.9936371711871108
+I+G4	2.0	500	refined_invariant_null	10000	10000	20000	-2.7755575615628914e-17	0.5939305264841688	0.3270327233061677	0.5506245406210566	1.618439724769432	-0.023354104500347445	0.002593573707284207	1.0087973666574594	0.0459	0.0419698045937483	0.050178955538559264	0.0476	0.043597712998593996	0.05194974149128917	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	11.730500961949735	11.714978178289986	1.0511945048148852
+I+G4	2.0	1000	legacy_counterfactual	10000	10000	20000	0.14904029851025008	0.8778943227596446	0.6284976378263063	0.5461447088630109	6.854982538158658	5.359056330780301	5.365241577372014	0.9274978862324145	1.0	0.9996159875222334	0.9999999999999999	0.05	0.045898410397600495	0.05444720083238938	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	20.758599509898236	20.743387890748533	1.0079389345732008
+I+G4	2.0	1000	refined_invariant_null	10000	10000	20000	-2.7755575615628914e-17	0.5939305264841688	0.3270327233061677	0.5506245406210566	1.61683194732169	-0.006684272445202005	0.010027182716476322	1.009081105806914	0.0465	0.042544188721841285	0.05080411059549295	0.0496	0.04551476692140481	0.05403115151856727	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	16.575516017462352	16.560667242245174	1.0661354362682092
+I+G4	2.0	5000	legacy_counterfactual	10000	10000	20000	0.14904029851025008	0.8778943227596446	0.6284976378263063	0.5461447088630109	13.508189477560075	11.996541367068296	12.007198579258361	0.9162232778153901	1.0	0.9996159875222334	0.9999999999999999	0.045	0.041108589268659346	0.049240862086108186	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	46.400353096371674	46.39061866170417	1.0133060377664536
+I+G4	2.0	5000	refined_invariant_null	10000	10000	20000	-2.7755575615628914e-17	0.5939305264841688	0.3270327233061677	0.5506245406210566	1.6430451190228308	-0.006590558854984502	0.009119622682879738	0.9975720990985348	0.0455	0.04158698820856655	0.04976207913372322	0.0458	0.041874092462116604	0.05007474447268651	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	37.04077647226979	37.03082613506674	1.071908548802842
+I+G4	2.0	10000	legacy_counterfactual	10000	10000	20000	0.14904029851025008	0.8778943227596446	0.6284976378263063	0.5461447088630109	18.494805000122508	16.970997014528468	16.97295136225394	0.9224800366692323	1.0	0.9996159875222334	0.9999999999999999	0.049	0.04493944517385872	0.05340693408108669	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	65.62376306265664	65.62129601758225	1.0001868648493517
+I+G4	2.0	10000	refined_invariant_null	10000	10000	20000	-2.7755575615628914e-17	0.5939305264841688	0.3270327233061677	0.5506245406210566	1.6402330810626167	-0.006315597020886741	-0.007103175432811628	1.0045654216399218	0.0501	0.04599433309751598	0.054551201329978344	0.0508	0.046665923012702865	0.05527907379732258	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	52.38686772851924	52.38440185680122	1.0585621439789683
+I+G4	3.0	100	legacy_counterfactual	10000	10000	20000	0.1303916919928526	0.7679215504253314	0.48087727619862614	0.4564080588852453	3.16697622583894	1.6602934100025986	1.6752568009170188	0.9239491656776412	0.5134	0.5036002540551465	0.5231894544104492	0.0486	0.044555994280372054	0.052990692184555564	1.0	0.9998079568876411	1.0	0.99695	0.9960844648256993	0.9976246635249272	5.708605574600987	5.6782528634670175	0.970629260575295
+I+G4	3.0	100	refined_invariant_null	10000	10000	20000	-2.7755575615628914e-17	0.515644875892485	0.23734565560354826	0.46028898317421907	1.5972671446017943	-0.03347768029486403	-0.0066129353651599426	1.004868851794197	0.0431	0.03929194216121171	0.04725896844097134	0.048	0.043980965621961486	0.05236618165793946	0.99695	0.9960844648256993	0.9976246635249272	0.9972	0.9963660500113234	0.9978429823177468	4.333898096787004	4.300862108033392	1.028310207071541
+I+G4	3.0	500	legacy_counterfactual	10000	10000	20000	0.1303916919928526	0.7679215504253314	0.48087727619862614	0.4564080588852453	5.295287995342076	3.783362543789066	3.777546695752269	0.9291061488995851	0.9891	0.9868688028733781	0.9909555561208705	0.0515	0.04733773902129087	0.0560067201712657	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	12.781793797503662	12.764858286864655	0.9565473330161254
+I+G4	3.0	500	refined_invariant_null	10000	10000	20000	-2.7755575615628914e-17	0.515644875892485	0.23734565560354826	0.46028898317421907	1.6236394870966542	-0.011728838531195347	-0.016396908369691942	1.0122332321197423	0.0485	0.044460143803757124	0.052886619463666046	0.0515	0.04733773902129087	0.0560067201712657	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	9.694751353478	9.681836924861347	1.0146393323224052
+I+G4	3.0	1000	legacy_counterfactual	10000	10000	20000	0.1303916919928526	0.7679215504253314	0.48087727619862614	0.4564080588852453	6.845589008117523	5.35626559447288	5.367463110902525	0.9159570144550915	1.0	0.9996159875222334	0.9999999999999999	0.0504	0.04628212937744861	0.054863174642559055	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	18.07231601851747	18.065143462535968	0.9555220307746568
+I+G4	3.0	1000	refined_invariant_null	10000	10000	20000	-2.7755575615628914e-17	0.515644875892485	0.23734565560354826	0.46028898317421907	1.6135783966132295	-0.01173089094092148	0.0013983980316748202	0.9958165042929412	0.0454	0.041491297560387976	0.04965784658439736	0.0494	0.04532297376687862	0.05382309827808457	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	13.705128337563266	13.6979857218603	1.012176294453711
+I+G4	3.0	5000	legacy_counterfactual	10000	10000	20000	0.1303916919928526	0.7679215504253314	0.48087727619862614	0.4564080588852453	13.47683558617778	12.001828019469258	12.003663881718232	0.9134733580552842	1.0	0.9996159875222334	0.9999999999999999	0.0536	0.04935450091318603	0.05818834542696393	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	40.43577080937728	40.43246150005387	0.9585792212041125
+I+G4	3.0	5000	refined_invariant_null	10000	10000	20000	-2.7755575615628914e-17	0.515644875892485	0.23734565560354826	0.46028898317421907	1.6013382004705412	-0.004706618919950598	-0.004212756422255676	0.9958988407968895	0.0506	0.04647401691551558	0.05507113349950097	0.0549	0.050603924672538624	0.059537923235169134	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	30.668998090121605	30.66389269231822	1.0155438860223736
+I+G4	3.0	10000	legacy_counterfactual	10000	10000	20000	0.1303916919928526	0.7679215504253314	0.48087727619862614	0.4564080588852453	18.460785821893168	16.98894853340909	16.994392516575406	0.9212505962535945	1.0	0.9996159875222334	0.9999999999999999	0.055	0.050700063435365754	0.05964170766984645	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	57.17820099947754	57.176246930692926	0.969363995615225
+I+G4	3.0	10000	refined_invariant_null	10000	10000	20000	-2.7755575615628914e-17	0.515644875892485	0.23734565560354826	0.46028898317421907	1.6149242523314635	0.010823007963447916	0.020371572442325826	1.0019964788755569	0.0512	0.0470497904716152	0.05569489912842804	0.0543	0.05002717929305323	0.05891512942962785	1.0	0.9998079568876411	1.0	1.0	0.9998079568876411	1.0	43.36404988553675	43.358278691846635	1.026040343488227
