dataset,branch,global_variance
branch_to_yeast,"(Eukaryota_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Saccharomyces_cerevisiae_baker_s_yeast, Node1652*)",1.8833194156903372
branch_to_eukaryota,"(Node1612*, Node77*)",1.1026283553124143
