tree_case	nsites	branch_length	replicate	scenario	target_found	tested_length	satZ	satP	decision	decision_bonferroni	informative
sixteen_internal	100	0.1	1	ml_tree_bonferroni	0						
sixteen_internal	100	0.1	2	true_tree_fixed_lengths	1	0.100001	13.06852175	2.491217004e-39	informative	informative	1
sixteen_internal	100	0.1	2	true_topology_ml_lengths	1	0.04276944241	13.52853451	5.305903946e-42	informative	informative	1
sixteen_internal	100	0.1	2	ml_tree_unadjusted	1	0.04347189845	13.53026614	5.182386082e-42	informative	informative	1
sixteen_internal	100	0.1	2	ml_tree_bonferroni	1	0.04347189845	13.53026614	5.182386082e-42	informative	informative	1
sixteen_internal	100	1.0	1	true_tree_fixed_lengths	1	1.000001	0.9139271727	0.1803775572	saturated	saturated	0
sixteen_internal	100	1.0	1	true_topology_ml_lengths	1	1.955728341	0.9708439919	0.1658129861	saturated	saturated	0
sixteen_internal	100	1.0	1	ml_tree_unadjusted	1	1.449859755	2.318994475	0.01019766794	informative	saturated	1
sixteen_internal	100	1.0	1	ml_tree_bonferroni	1	1.449859755	2.318994475	0.01019766794	informative	saturated	0
sixteen_internal	100	1.0	2	true_tree_fixed_lengths	1	1.000001	2.943331043	0.001623505023	informative	saturated	1
sixteen_internal	100	1.0	2	true_topology_ml_lengths	1	1.119047721	3.356335036	0.0003949141199	informative	informative	1
sixteen_internal	100	1.0	2	ml_tree_unadjusted	1	1.069126409	3.709536699	0.0001038194299	informative	informative	1
sixteen_internal	100	1.0	2	ml_tree_bonferroni	1	1.069126409	3.709536699	0.0001038194299	informative	informative	1
sixteen_internal	100	5.0	1	true_tree_fixed_lengths	1	5.000001	1.840883122	0.03281934411	informative	saturated	1
sixteen_internal	100	5.0	1	true_topology_ml_lengths	1	1.51030117	2.081138651	0.01871060847	informative	saturated	1
sixteen_internal	100	5.0	1	ml_tree_unadjusted	1	1.506643225	2.301362382	0.01068557819	informative	saturated	1
sixteen_internal	100	5.0	1	ml_tree_bonferroni	1	1.506643225	2.301362382	0.01068557819	informative	saturated	0
sixteen_internal	100	5.0	2	true_tree_fixed_lengths	1	5.000001	0.4906696903	0.3118300436	saturated	saturated	0
sixteen_internal	100	5.0	2	true_topology_ml_lengths	1	1.873368663	1.230157645	0.1093190386	saturated	saturated	0
sixteen_internal	100	5.0	2	ml_tree_unadjusted	1	1.41841522	2.574846737	0.005014225653	informative	saturated	1
sixteen_internal	100	5.0	2	ml_tree_bonferroni	1	1.41841522	2.574846737	0.005014225653	informative	saturated	0
sixteen_internal	1000	0.1	1	true_tree_fixed_lengths	1	0.100001	38.91519407	0	informative	informative	1
sixteen_internal	1000	0.1	1	true_topology_ml_lengths	1	0.08888470952	38.95636639	0	informative	informative	1
sixteen_internal	1000	0.1	1	ml_tree_unadjusted	1	0.08892960843	38.956384	0	informative	informative	1
sixteen_internal	1000	0.1	1	ml_tree_bonferroni	1	0.08892960843	38.956384	0	informative	informative	1
sixteen_internal	1000	0.1	2	true_tree_fixed_lengths	1	0.100001	38.72220283	0	informative	informative	1
sixteen_internal	1000	0.1	2	true_topology_ml_lengths	1	0.08920053381	38.82544536	0	informative	informative	1
sixteen_internal	1000	0.1	2	ml_tree_unadjusted	1	0.08923925179	38.82545349	0	informative	informative	1
sixteen_internal	1000	0.1	2	ml_tree_bonferroni	1	0.08923925179	38.82545349	0	informative	informative	1
sixteen_internal	1000	1.0	1	true_tree_fixed_lengths	1	1.000001	10.61188491	1.312006448e-26	informative	informative	1
sixteen_internal	1000	1.0	1	true_topology_ml_lengths	1	1.082860103	10.64528032	9.171566597e-27	informative	informative	1
sixteen_internal	1000	1.0	1	ml_tree_unadjusted	1	1.083962699	10.64277085	9.422031684e-27	informative	informative	1
sixteen_internal	1000	1.0	1	ml_tree_bonferroni	1	1.083962699	10.64277085	9.422031684e-27	informative	informative	1
sixteen_internal	1000	1.0	2	true_tree_fixed_lengths	1	1.000001	11.73492915	4.219848575e-32	informative	informative	1
sixteen_internal	1000	1.0	2	true_topology_ml_lengths	1	0.9899582729	11.85996052	9.553259618e-33	informative	informative	1
sixteen_internal	1000	1.0	2	ml_tree_unadjusted	1	0.9916202886	11.8604997	9.49193803e-33	informative	informative	1
sixteen_internal	1000	1.0	2	ml_tree_bonferroni	1	0.9916202886	11.8604997	9.49193803e-33	informative	informative	1
sixteen_internal	1000	5.0	1	true_tree_fixed_lengths	1	5.000001	-0.4444936003	0.6716571226	saturated	saturated	0
sixteen_internal	1000	5.0	1	true_topology_ml_lengths	1	9.999998698	-0.2966588758	0.6166365217	saturated	saturated	0
sixteen_internal	1000	5.0	1	ml_tree_unadjusted	1	2.232480179	2.6973499	0.003494689325	informative	saturated	1
sixteen_internal	1000	5.0	1	ml_tree_bonferroni	1	2.232480179	2.6973499	0.003494689325	informative	saturated	0
sixteen_internal	1000	5.0	2	true_tree_fixed_lengths	1	5.000001	-1.328783153	0.9080402391	saturated	saturated	0
sixteen_internal	1000	5.0	2	true_topology_ml_lengths	1	9.999998958	-1.316100081	0.905929773	saturated	saturated	0
sixteen_internal	1000	5.0	2	ml_tree_unadjusted	1	3.311210342	0.647008162	0.2588133305	saturated	saturated	0
sixteen_internal	1000	5.0	2	ml_tree_bonferroni	1	3.311210342	0.647008162	0.2588133305	saturated	saturated	0
