dataset	formula	branch_id	branch_label	branch_length	target_taxa	rate_category	rate_multiplier	sites	valid_sites	effective_branch_length	category_variance	modes	eigenvalues	weights	component_csv
protein_based_2D_tree	dominant	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0504491957	1	c2	0.5182	717	717	0.026142773211739998	0.8088723348760032	18	-0.2671807365	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/dominant/branch_to_yeast/protein_alignment.fasta_c2.independent_enhanced.components.csv
protein_based_2D_tree	eigenvalue_weighted	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0504491957	1	c2	0.5182	717	717	0.026142773211739998	17.09419122108677	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	-2.116160663,-1.799114937,-1.653425903,-1.458731384,-1.433519376,-1.337075705,-1.251744533,-1.168395567,-1.06337824,-1.004843662,-0.9856562164,-0.9168245731,-0.7539151713,-0.6082540267,-0.5461727624,-0.4876784145,-0.4327654412,-0.405532054,-0.2671807365	0.9528121941,0.9607423536,0.964408525,0.9693297377,0.969968845,0.972417518,0.974589202,0.976715121,0.9794003222,0.9809002029,0.9813923586,0.983159915,0.9873560273,0.9911230333,0.9927329087,0.9942521616,0.9956805126,0.9963896459,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/eigenvalue_weighted/branch_to_yeast/protein_alignment.fasta_c2.independent_enhanced.components.csv
protein_based_2D_tree	dominant	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0504491957	1	c3	1.0213	820	820	0.05152376356841	0.6671470268047198	18	-0.2671807365	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/dominant/branch_to_yeast/protein_alignment.fasta_c3.independent_enhanced.components.csv
protein_based_2D_tree	eigenvalue_weighted	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0504491957	1	c3	1.0213	820	820	0.05152376356841	14.353085971665994	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	-2.116160663,-1.799114937,-1.653425903,-1.458731384,-1.433519376,-1.337075705,-1.251744533,-1.168395567,-1.06337824,-1.004843662,-0.9856562164,-0.9168245731,-0.7539151713,-0.6082540267,-0.5461727624,-0.4876784145,-0.4327654412,-0.405532054,-0.2671807365	0.9091307056,0.924103671,0.9310665069,0.9404534054,0.9416758647,0.9463668302,0.9505367706,0.9546275831,0.9598069659,0.9627060381,0.963658249,0.9670818969,0.9752334605,0.9825801317,0.9857281038,0.9887034208,0.9915047432,0.9928969661,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/eigenvalue_weighted/branch_to_yeast/protein_alignment.fasta_c3.independent_enhanced.components.csv
protein_based_2D_tree	dominant	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0504491957	1	c4	2.2942	526	526	0.11574054477494	0.5185438810390995	18	-0.2671807365	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/dominant/branch_to_yeast/protein_alignment.fasta_c4.independent_enhanced.components.csv
protein_based_2D_tree	eigenvalue_weighted	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0504491957	1	c4	2.2942	526	526	0.11574054477494	9.743756479330724	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	-2.116160663,-1.799114937,-1.653425903,-1.458731384,-1.433519376,-1.337075705,-1.251744533,-1.168395567,-1.06337824,-1.004843662,-0.9856562164,-0.9168245731,-0.7539151713,-0.6082540267,-0.5461727624,-0.4876784145,-0.4327654412,-0.405532054,-0.2671807365	0.8073468156,0.8375227102,0.8517648646,0.871176466,0.8737223165,0.8835298281,0.8922990451,0.9009485777,0.9119662166,0.9181656033,0.9202068995,0.9275671098,0.9452225197,0.9612930167,0.9682250887,0.9748023745,0.9810176145,0.9841146674,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/protein_based_2D_tree/components/eigenvalue_weighted/branch_to_yeast/protein_alignment.fasta_c4.independent_enhanced.components.csv
rRNA_based_3D_tree	dominant	branch_to_eukaryota	Eukaryota clade	1.5031120482	157	c1	0.05756	678	678	0.086519129494392	0.7770092022801574	2	-0.825981662	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/dominant/branch_to_eukaryota/rRNA_alignment.fasta_c1.independent_enhanced.components.csv
rRNA_based_3D_tree	eigenvalue_weighted	branch_to_eukaryota	Eukaryota clade	1.5031120482	157	c1	0.05756	678	678	0.086519129494392	2.2941401377448347	0,1,2	-1.855202007,-1.42008736,-0.825981662	0.9148023497,0.9498972028,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/eigenvalue_weighted/branch_to_eukaryota/rRNA_alignment.fasta_c1.independent_enhanced.components.csv
rRNA_based_3D_tree	dominant	branch_to_eukaryota	Eukaryota clade	1.5031120482	157	c2	0.324	482	482	0.48700830361680003	0.568516846460406	2	-0.825981662	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/dominant/branch_to_eukaryota/rRNA_alignment.fasta_c2.independent_enhanced.components.csv
rRNA_based_3D_tree	eigenvalue_weighted	branch_to_eukaryota	Eukaryota clade	1.5031120482	157	c2	0.324	482	482	0.48700830361680003	0.9674583483784168	0,1,2	-1.855202007,-1.42008736,-0.825981662	0.605779722,0.7487617717,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/eigenvalue_weighted/branch_to_eukaryota/rRNA_alignment.fasta_c2.independent_enhanced.components.csv
rRNA_based_3D_tree	dominant	branch_to_eukaryota	Eukaryota clade	1.5031120482	157	c3	0.8919	444	444	1.34062563578958	0.25000352585515373	2	-0.825981662	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/dominant/branch_to_eukaryota/rRNA_alignment.fasta_c3.independent_enhanced.components.csv
rRNA_based_3D_tree	eigenvalue_weighted	branch_to_eukaryota	Eukaryota clade	1.5031120482	157	c3	0.8919	444	444	1.34062563578958	0.28012726250460207	0,1,2	-1.855202007,-1.42008736,-0.825981662	0.2516290805,0.4509163973,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/eigenvalue_weighted/branch_to_eukaryota/rRNA_alignment.fasta_c3.independent_enhanced.components.csv
rRNA_based_3D_tree	dominant	branch_to_eukaryota	Eukaryota clade	1.5031120482	157	c4	2.727	343	343	4.0989865554414	0.002043191060928011	2	-0.825981662	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/dominant/branch_to_eukaryota/rRNA_alignment.fasta_c4.independent_enhanced.components.csv
rRNA_based_3D_tree	eigenvalue_weighted	branch_to_eukaryota	Eukaryota clade	1.5031120482	157	c4	2.727	343	343	4.0989865554414	0.0020439667601162793	0,1,2	-1.855202007,-1.42008736,-0.825981662	0.01471687691,0.08757749095,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/eigenvalue_weighted/branch_to_eukaryota/rRNA_alignment.fasta_c4.independent_enhanced.components.csv
rRNA_based_3D_tree	dominant	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0038839974	1	c1	0.05756	678	678	0.00022356289034399998	0.6575714925667924	2	-0.825981662	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/dominant/branch_to_yeast/rRNA_alignment.fasta_c1.independent_enhanced.components.csv
rRNA_based_3D_tree	eigenvalue_weighted	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0038839974	1	c1	0.05756	678	678	0.00022356289034399998	2.347566400307677	0,1,2	-1.855202007,-1.42008736,-0.825981662	0.999769931,0.9998671888,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/eigenvalue_weighted/branch_to_yeast/rRNA_alignment.fasta_c1.independent_enhanced.components.csv
rRNA_based_3D_tree	dominant	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0038839974	1	c2	0.324	482	482	0.0012584151576	0.6046487277421908	2	-0.825981662	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/dominant/branch_to_yeast/rRNA_alignment.fasta_c2.independent_enhanced.components.csv
rRNA_based_3D_tree	eigenvalue_weighted	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0038839974	1	c2	0.324	482	482	0.0012584151576	1.889563661106103	0,1,2	-1.855202007,-1.42008736,-0.825981662	0.9987056519,0.9992526478,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/eigenvalue_weighted/branch_to_yeast/rRNA_alignment.fasta_c2.independent_enhanced.components.csv
rRNA_based_3D_tree	dominant	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0038839974	1	c3	0.8919	444	444	0.00346413728106	0.6070051177175798	2	-0.825981662	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/dominant/branch_to_yeast/rRNA_alignment.fasta_c3.independent_enhanced.components.csv
rRNA_based_3D_tree	eigenvalue_weighted	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0038839974	1	c3	0.8919	444	444	0.00346413728106	1.8371745115388776	0,1,2	-1.855202007,-1.42008736,-0.825981662	0.9964409878,0.9979440527,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/eigenvalue_weighted/branch_to_yeast/rRNA_alignment.fasta_c3.independent_enhanced.components.csv
rRNA_based_3D_tree	dominant	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0038839974	1	c4	2.727	343	343	0.010591660909799998	0.34766990864403796	2	-0.825981662	1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/dominant/branch_to_yeast/rRNA_alignment.fasta_c4.independent_enhanced.components.csv
rRNA_based_3D_tree	eigenvalue_weighted	branch_to_yeast	Saccharomyces cerevisiae leaf	0.0038839974	1	c4	2.727	343	343	0.010591660909799998	1.0165591587329499	0,1,2	-1.855202007,-1.42008736,-0.825981662	0.9891580494,0.9937271906,1	/Users/berksakalli/Projects/satute-eigenvector-reanalysis/results/independent_enhanced_sliding_window_20260619_151135/rRNA_based_3D_tree/components/eigenvalue_weighted/branch_to_yeast/rRNA_alignment.fasta_c4.independent_enhanced.components.csv
